comment_text,true_label,pred_label,true_label_nome,pred_label_nome
"Muito triste, que Deus conforte os familiares desse senhor",1,1,neutro,neutro
Faltou cães e balas,1,1,neutro,neutro
Eu cheguei até o fim,1,1,neutro,neutro
Eu estou assustada,1,1,neutro,neutro
Essa I.A cheirou muito pó.💀,0,1,negativo,neutro
Essa história tá sinistra em,1,1,neutro,neutro
"Uma junta médica veterinária, mais uma equipe de policiais, e mais a imprensa PREOCUPADA COM O ESTADO DE SAÚDE DA ONÇA, depois de engolir o caseiro?!?<br>A ONÇA passou por exames de ressonância magnética, tomografia computadorizada, exame psicológico para saber se o comportamento psicológico DA ONÇA mudou ou não depois de ter engolido caseiro.!!😂",1,1,neutro,neutro
"É, brinco , morreu...! Onde não tem esses animais o IBAMA está soltando. Quando vão soltar no tal planalto central lá tem muita presa como ministros, senador...",1,1,neutro,neutro
😢achou que a onça não ia ataca-lo,1,1,neutro,neutro
Eu quero saber sobre o caso do Jorge e da Onça porque até agora ninguém explica nada e eu quero entender Qual foi o motivo de sotaque a reação desse animal feroz,1,1,neutro,neutro
Agora o Ibama que defende essa merda desse animal indeniza a família onça não presta pra nada nem pra ser predador de javali ela a  não ataca não e fazer captura e moer na bala no lugar de anestésico,1,1,neutro,neutro
Mentira não foi assim,0,0,negativo,negativo
"Aqui na bahia houve um ataque no inicio do ano em Cafarnaum, Proximo de morro do chapéu",1,1,neutro,neutro
Falta de juízo??? Criticar é fácil né!! O cara era trabalhador e c tava trabalhando ali é porque foi o que apareceu pra ele,1,1,neutro,neutro
De novo essa história já tá chato,0,0,negativo,negativo
@ rapaz…,1,1,neutro,neutro
😢 Moço! Morro de medo de virar chiclete de onça 😭😭😭,1,1,neutro,neutro
Que situação triste viu,1,1,neutro,neutro
@@ViiiztorEntão você não se importaria de se oferecer como alimento para a onça.,1,1,neutro,neutro
Realmente as queimadas estao trazendo desequilíbrio a natureza. Nunca ouvi que uma onça comesse ser humano.,1,1,neutro,neutro
Ele ia virar almoco da onca😅😅😂😂,1,1,neutro,neutro
Uma arma carregada,1,1,neutro,neutro
"Moço, eu prefiro sem sombras de dúvida encontrar com uma onça do que dois caras numa moto",1,1,neutro,neutro
Não  e a onça  que está  no lugar errado são  as pessoas que estão  no lugar delas!!!,1,1,neutro,neutro
Nunca vi tanto sensualismo barato...,0,1,negativo,neutro
Ela estava fome,1,1,neutro,neutro
"Tem muito biólogo dizendo que onça NÃO ATACA seres humanos, o problema é não ter esse bom senso de dizer NÃO COSTUMA, quando quem pesquisa descobre que já houveram diversos ataques e inclusive predação.",1,1,neutro,neutro
Solta uma camada de chumbo na costela dele aí nunca mais ele come gente,1,1,neutro,neutro
"@@robertosilveira2566 mas é geralmente isso que acontece, ele acostuma com as coisas fáceis e ai quando não dá parte para cima. Nos EUA tem muito isso com o urso preto.",1,1,neutro,neutro
"A onça voltou pro pesqueiro,pq ela queria achar outra presa fácil,ela queria outro humano!!!!",1,1,neutro,neutro
Muitas notícias fake estão se espalhando.,1,0,neutro,negativo
"Ai depois que mata essa onca,igual a ilustre moca la fez,cercando ela com os cachorros,o povo reclama,tem q passar porva msm,senchegar perto de casa",1,1,neutro,neutro
"Ela fez da quelé lugar o seu território ,e não tolerava mas o caseiro ali .por isso  ela voltou .",1,1,neutro,neutro
Animal muito lindo,1,1,neutro,neutro
Você falou tudo meu amigo,2,1,positivo,neutro
Ótimo vídeo.,2,2,positivo,positivo
"O povo está invadindo o território  dos animais, poriso está acontecendo de os animais  atacarem, e ainda por cima prenderam a onça, e retiraram ela do habitate dele,isso é o Brasil kkkk",1,1,neutro,neutro
Sou MT seu fã 😊,1,1,neutro,neutro
"Muito engraçado, a vida de uma desgraça dessas vale mais que a de um ser humano",1,1,neutro,neutro
Pede pra eles levar pro quintal da casa deles,1,1,neutro,neutro
"Vcs que fizeram o vídeo, não teriam algo melhor para fazerem?Muita maldade com os familiares.",0,1,negativo,neutro
"Inacreditável kkkkkk como seres humanos são burros, falam que invadimos território dos bicho mais os cara não percebe que para morar no barraco que moram vários animais perderam seu lares, são hipocritas e burros…eu quero é que se foda, se o bicho fornece risco a seres humanos tem que matar mesmo, capaz que vou ficar de papinho de poupar um animal que pode ceifar a vida de um pai, esposo ou filho",1,1,neutro,neutro
Só bota ela com toucinho,1,1,neutro,neutro
"A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis.",2,1,positivo,neutro
Através das imagens das câmeras da pra saber se a onça capiturada é ou não a que mantou o Jorge ! É só analisar as pintas dela.,1,1,neutro,neutro
"Nãããã onça não ataca ninguém não, essa devia ser uma anomalia daquele do filme Matrix",1,1,neutro,neutro
Muito triste esse acontecimento só Deus mesmo no controle de tudo Que Deus conforte os corações de parente amigos familiares nessa hora tão difícil 🖤🖤🖤.,1,1,neutro,neutro
Se eu morace em um lugar desse não deixava de andar com revolver na cintura,1,1,neutro,neutro
Meu Deus misericórdia,1,1,neutro,neutro
Meu  Deus,1,1,neutro,neutro
Compensa não kkk,1,1,neutro,neutro
Tem onça na Bahia?,1,1,neutro,neutro
E agora será que o IBAMA vai indenizar o caseiro ou vá ficar por esquecimento???,1,1,neutro,neutro
"Acho que as imagens não vazem, mais a população precisa saber o que aconteceu na realidade, se ele alimentava ou não?<br>O que o povo precisa saber é a verdade",1,1,neutro,neutro
"É muita besteira,  para um vídeo só!",0,0,negativo,negativo
PARABÉNS pelo comentário.<br>Meus SENTIMENTOS a família.,1,1,neutro,neutro
Você têm razão.<br>Mais a real é essa mesmo amigo.<br>A tendência é a humanidade crescer e as grandes cidades se estenderem rumo as grandes matas.<br>Não têm como fugir disso.<br>Claro quê aí não foi o caso <br>Mais a realidade é essa.,1,1,neutro,neutro
Deixar Todas QUASE CEGAS Pra Ficarem Fragilizadas e O Ser Humano e O Gado Vacun Sobreviver!,1,1,neutro,neutro
Falando besteira?,1,1,neutro,neutro
🌎🌍🌏🍫🗺🐆🔦📸📹,1,1,neutro,neutro
